make,model,version,ano,mot_tipo_motor,mot_potencia_hp,mot_torque_nm,mot_aspiracion,mot_traccion,mot_transmision,mot_marchas,dim_largo_mm,dim_ancho_mm,dim_alto_mm,dim_batalla_mm,dim_peso_kg,cap_baul_l,cap_carga_util_kg,remolque_frenado_kg,cap_plazas,seg_pas_airbags_cnt,seg_act_abs,seg_act_esp,eff_consumo_l_100km,eff_kwh_100km,eff_co2_g_km,bateria_kwh,autonomia_km,carga_dc_kw,carga_ac_kw,info_pantalla_pulg,info_android_auto,info_apple_carplay,info_camara_360,info_cargador_inalambrico,amen_techo_panoramico,conf_asientos_calefaccion,conf_asientos_ventilacion,adas_aeb,adas_acc,adas_lka,adas_bsm,adas_rcta,luces_matriz_led,chasis_frenos_del,chasis_frenos_tras,chasis_susp_del,chasis_susp_tras,ruedas_neumatico_medida,ruedas_rin_pulg,angulo_ataque_deg,angulo_salida_deg,angulo_quiebre_deg,despeje_suelo_mm,cap_tanque_l,fuente_url,ano_source
FT,JEEP,GCH,2025,,6.4,,,,AUTOMÁTICA,8,,,,,,,,,,,1,1,,,,,,,,18.0,1,1,0,1,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/jeep/FT_JEEP_GCH_ALTITUDE_2025_22NOV2024_V1.pdf,file:ano
JEEP,RENEGADE,LIMITED POLAR BRONZE EDITION,2025,gasolina,5.75,,,FWD,AUTOMÁTICA,6,,,,,438,,,,,,1,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/jeep/FT_JEEP_RENEGADE_2025_08ENE2025_DIGITAL_V1.pdf,file:ano
KIA,K3,GT LINE,2024,gasolina,,,,,AUTOMÁTICA,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/kia/Kia-K3-Hatchback-2024-5d-GD-SP-I-NCAP--Candado-de-impresi_n.pdf,file:ano
KIA,K3,EX PACK AT,2023,gasolina,,,,,AUTOMÁTICA,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/kia/Kia-K3-Sedan-2023-4d-GD-ES--Candado-de-impresi_n.pdf,file:ano
KIA,K4,GT LINE,2025,gasolina,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/kia/Kia_K4_Sed_n_2025_4d_GD_ES_Candado_de_impresi_n_V2.pdf,file:ano
KIA,K4,GT LINE,2025,gasolina,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/kia/Kia_K4__Hatchback_2025_5d_GD_ES_VF.pdf,file:ano
MAZDA,BT-50,SIGNATURE,2025,diésel,188.0,,,4X4,AUTOMÁTICA,6,,,,,,,,,,,1,0,,,,,,,,,1,1,0,0,0,0,0,1,1,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda-bt-50-2025-v01.pdf,file:ano
MAZDA,CX-3,I SPORT 2WD,2025,gasolina,148.0,,,,AUTOMÁTICA,6,,,,,,,,,,,1,0,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda-cx-3-2025-v01.pdf,file:ano
MAZDA,CX-30,S GRAND TOURING POLYMETAL AWD,2025,gasolina,186.0,,,AWD,AUTOMÁTICA,6,,,,,,,,,,,1,0,,,,,,,,10.0,1,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda-cx-30-2025-v01.pdf,file:ano
MAZDA,CX-5,I GRAND TOURING 2WD,2025,gasolina,188.0,,,,AUTOMÁTICA,6,,,,,,,,,,,1,0,,,,,,,,10.0,1,1,0,1,0,0,1,0,1,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda-cx-5-2025-v01.pdf,file:ano
