make,model,version,ano,mot_tipo_motor,mot_potencia_hp,mot_torque_nm,mot_aspiracion,mot_traccion,mot_transmision,mot_marchas,dim_largo_mm,dim_ancho_mm,dim_alto_mm,dim_batalla_mm,dim_peso_kg,cap_baul_l,cap_carga_util_kg,remolque_frenado_kg,cap_plazas,seg_pas_airbags_cnt,seg_act_abs,seg_act_esp,eff_consumo_l_100km,eff_kwh_100km,eff_co2_g_km,bateria_kwh,autonomia_km,carga_dc_kw,carga_ac_kw,info_pantalla_pulg,info_android_auto,info_apple_carplay,info_camara_360,info_cargador_inalambrico,amen_techo_panoramico,conf_asientos_calefaccion,conf_asientos_ventilacion,adas_aeb,adas_acc,adas_lka,adas_bsm,adas_rcta,luces_matriz_led,chasis_frenos_del,chasis_frenos_tras,chasis_susp_del,chasis_susp_tras,ruedas_neumatico_medida,ruedas_rin_pulg,angulo_ataque_deg,angulo_salida_deg,angulo_quiebre_deg,despeje_suelo_mm,cap_tanque_l,fuente_url,ano_source,ano_catalog,audit_status
CHEVROLET,BLAZER,PIEL B,2025,,6.7,,,,AUTOMÁTICA,9.0,,,,,,,,,,2.0,0,1,,,,,,,,11.0,1,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/ficha-tecnica-blazer-2025-tld.pdf,file:ano,2019,conflict
CHEVROLET,CAPTIVA,PREMIER BLACK EDITION D,2025,gasolina,184.0,,,,●,,,,,,,,,,,2.0,1,0,,,,,,,,10.4,1,1,1,0,0,0,0,0,0,0,0,0,0,,,●,,,,,,,,,file://data/oem_specs_processed/chevrolet/ficha-tecnica-captiva-black-edition-2025-v2.pdf,file:ano,2025,ok
CHEVROLET,GROOVE,LT AUTOMÁTICO E,2025,gasolina,,,,,●,6.0,,,,,,,,,,216.0,1,0,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,,,●,,●,,,,,,,file://data/oem_specs_processed/chevrolet/ficha-tecnica-groove-2025-tld.pdf,file:ano,2024,conflict
CHEVROLET,GROOVE,LT AUTOMÁTICO E,2026,LT TM,188.0,,,●,●,6.0,,,,,,,,,,,1,0,,,,,,,,,1,1,0,0,0,0,0,1,1,1,0,0,0,,,,●,,,,,,,,file://data/oem_specs_processed/chevrolet/ficha-tecnica-groove-2026.pdf,file:ano,2024,conflict
CHEVROLET,SUBURBAN,5.3L D 4X4 PIEL DVD QUEMACOCOS,2025,●,5.6,,,4x2,●,10.0,,,,,,,,,,2.0,0,0,,,,,,,,12.6,1,1,0,1,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/ficha-tecnica-suburban-2025.pdf,file:ano,2009,conflict
MANUAL,DE,PROPIETARIO,2025,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/manual-de-propietario.pdf,text:MY,,ok
GMC,TERRAIN,DENALI D,2019,gasolina,,,,,AUTOMÁTICA,9.0,,,,,,,,,,2.0,1,1,,,,,,,,,1,1,1,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/2019-gmc-terrain-model-overview-catalogo.pdf,file:ano,2016,conflict
GMC,TERRAIN,DENALI D,2019,diésel,,,,,AUTOMÁTICA,,,,,,,,,,,,1,1,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,1,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/2019-gmc-terrain-model-overview-manual-propietario.pdf,file:ano,2016,conflict
GMC,YUKON,C DENALI QUEMACOCOS,2025,diésel,,,,,,,,,,,,,,,,,1,1,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/2025-yukon-manual-de-propietario.pdf,file:ano,2013,conflict
GMC,TERRAIN,DENALI D,2026,gasolina,,,,,,,,,,,,,,,,,1,1,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/2026-gmc-terrain.pdf,file:ano,2016,conflict
25,GMC,HUMMER,2025,gasolina,,,,,,,,,,,,,,,,,1,1,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/25_GMC_Hummer_EV_OM_es_MX_U_MX_18270642A_2024OCT10.pdf,text:ano,,ambiguous_text
