file_path,file_name,make,model,version,ano,ano_source,text_len,pages_scanned,has_tables,ts_processed
data/oem_specs/gmc/GMC_HUMMER_20EV_AWD_SUV_2024_5d_Electric_MX_1GT-22101.pdf,GMC_HUMMER_20EV_AWD_SUV_2024_5d_Electric_MX_1GT-22101.pdf,GMC,HUMMER,20EV,2024,file:ano,7985,6,0,2025-09-06T03:07:53.117021
data/oem_specs/gmc/catalogo-accesorios-terrain-2026.pdf,catalogo-accesorios-terrain-2026.pdf,GMC,TERRAIN,DENALI E,2026,file:ano,747,6,0,2025-09-06T03:07:54.247117
data/oem_specs/gmc/catalogo-sierra-2025-desktop.pdf,catalogo-sierra-2025-desktop.pdf,GMC,SIERRA,DENALI ULTIMATE G CREW CAB,2025,file:ano,2498,6,0,2025-09-06T03:07:55.307286
data/oem_specs/gmc/catalogo-terrain-2026.pdf,catalogo-terrain-2026.pdf,GMC,TERRAIN,DENALI E,2026,text:MY,2318,6,0,2025-09-06T03:07:56.383372
data/oem_specs/gmc/catalogo-yukon-accesorios-2025.pdf,catalogo-yukon-accesorios-2025.pdf,GMC,YUKON,DENALI A,2025,file:ano,2093,6,0,2025-09-06T03:07:57.371227
data/oem_specs/gmc/gmc-canyon-2025-catalogo-escritorio.pdf,gmc-canyon-2025-catalogo-escritorio.pdf,GMC,CANYON,DENALI E,2025,file:ano,2412,6,0,2025-09-06T03:07:58.478343
data/oem_specs/gmc/gmc-etiquetas-rendimiento-2023-copy.pdf,gmc-etiquetas-rendimiento-2023-copy.pdf,GMC,etiquetas,rendimiento,2023,file:ano,0,6,0,2025-09-06T03:08:01.501210
data/oem_specs/gmc/gmc-yukon-catalogo-escritorio.pdf,gmc-yukon-catalogo-escritorio.pdf,GMC,YUKON,B PIEL,2007,,3098,6,0,2025-09-06T03:08:02.509276
data/oem_specs/gmc/manual-de-propietario-acadia-2024.pdf,manual-de-propietario-acadia-2024.pdf,GMC,ACADIA,DENALI G,2024,file:ano,7145,6,0,2025-09-06T03:08:04.224105
data/oem_specs/gmc/manual-de-propietario.pdf,manual-de-propietario.pdf,MANUAL,de,propietario,2025,text:ano,8337,6,0,2025-09-06T03:08:06.006901
data/oem_specs/gmc/manual-propietario.pdf,manual-propietario.pdf,MANUAL,propietario,,2025,text:ano,8171,6,0,2025-09-06T03:08:07.896752
data/oem_specs/gmc/nueva-gmc-acadia-2024-catalogo-escritorio.pdf,nueva-gmc-acadia-2024-catalogo-escritorio.pdf,GMC,ACADIA,DENALI G,2024,file:ano,2557,6,0,2025-09-06T03:08:08.866335
data/oem_specs/gmc/nueva-gmc-acadia-catalogo-accesorios.pdf,nueva-gmc-acadia-catalogo-accesorios.pdf,GMC,ACADIA,B PIEL,2007,,1856,6,0,2025-09-06T03:08:09.840336
data/oem_specs/gwm/Cat_logo_Accesorios_Abril_2025.pdf,Cat_logo_Accesorios_Abril_2025.pdf,CAT,logo,Accesorios,2025,file:ano,2280,6,0,2025-09-06T03:08:12.681716
data/oem_specs/honda/Brochure_ACCORD_Petrol_2025.pdf,Brochure_ACCORD_Petrol_2025.pdf,HONDA,ACCORD,EX-R PIEL,2025,file:ano,3758,6,0,2025-09-06T03:08:14.274183
data/oem_specs/honda/Brochure_BRV_2025.pdf,Brochure_BRV_2025.pdf,HONDA,BR-V,TOURING,2025,file:ano,3715,6,0,2025-09-06T03:08:15.294472
data/oem_specs/honda/Brochure_CITY_2026.pdf,Brochure_CITY_2026.pdf,HONDA,CITY,1.5 EX AT,2026,file:ano,4001,6,0,2025-09-06T03:08:16.285589
data/oem_specs/honda/Brochure_CIVIC_2026.pdf,Brochure_CIVIC_2026.pdf,HONDA,CIVIC,EX-R AT,2026,file:ano,3302,6,0,2025-09-06T03:08:17.244435
data/oem_specs/honda/Brochure_CRV_2026.pdf,Brochure_CRV_2026.pdf,HONDA,CR-V,EX-L MANOS LIBRES,2026,file:ano,4575,6,0,2025-09-06T03:08:18.252376
data/oem_specs/honda/Brochure_HRV_2026.pdf,Brochure_HRV_2026.pdf,HONDA,HR-V,1.8 1 MILLION EDITION,2026,file:ano,4563,6,0,2025-09-06T03:08:19.285039
data/oem_specs/honda/Brochure_ODYSSEY_2025.pdf,Brochure_ODYSSEY_2025.pdf,HONDA,ODYSSEY,BLACK EDITION,2025,file:ano,4482,6,0,2025-09-06T03:08:20.290399
data/oem_specs/honda/Brochure_PILOT_2025.pdf,Brochure_PILOT_2025.pdf,HONDA,PILOT,BLACK EDITION,2025,file:ano,4773,6,0,2025-09-06T03:08:21.579891
data/oem_specs/hyundai/FichaTecnica_Creta2026.pdf,FichaTecnica_Creta2026.pdf,HYUNDAI,CRETA,GLS PREMIUM TA,2021,text:ano,7310,6,1,2025-09-06T03:08:23.659599
data/oem_specs/hyundai/FichaTecnica_GrandFacelift2026.pdf,FichaTecnica_GrandFacelift2026.pdf,FICHATECNICA,GrandFacelift2026,,2013,text:ano,6018,6,0,2025-09-06T03:08:25.228090
data/oem_specs/hyundai/Ficha_Tecnica_Gi10HB_2026.pdf,Ficha_Tecnica_Gi10HB_2026.pdf,HYUNDAI,HB20,1.6 GL MID AUTO,2026,file:ano,5967,6,0,2025-09-06T03:08:26.802054
data/oem_specs/hyundai/Ficha_Tecnica_Gi10SD_2026.pdf,Ficha_Tecnica_Gi10SD_2026.pdf,FICHA,Tecnica,Gi10SD,2026,file:ano,5801,6,0,2025-09-06T03:08:28.558000
data/oem_specs/hyundai/Fichatecnica_elantrahibrido2026.pdf,Fichatecnica_elantrahibrido2026.pdf,HYUNDAI,ELANTRA,GLS PREMIUM TA,2021,text:ano,6457,6,0,2025-09-06T03:08:30.179690
data/oem_specs/mazda/ficha-tecnica-mazda-bt-50-2025-v01.pdf,ficha-tecnica-mazda-bt-50-2025-v01.pdf,MAZDA,BT-50,SIGNATURE,2025,file:ano,6705,6,0,2025-09-06T03:08:32.124108
data/oem_specs/mazda/ficha-tecnica-mazda-cx-3-2025-v01.pdf,ficha-tecnica-mazda-cx-3-2025-v01.pdf,MAZDA,CX-3,I SPORT 2WD,2025,file:ano,6116,6,0,2025-09-06T03:08:33.367147
data/oem_specs/mazda/ficha-tecnica-mazda-cx-30-2025-v01.pdf,ficha-tecnica-mazda-cx-30-2025-v01.pdf,MAZDA,CX-30,2.5 I GRAND TOURING,2025,file:ano,7728,6,0,2025-09-06T03:08:34.721196
data/oem_specs/mazda/ficha-tecnica-mazda-cx-5-2025-v01.pdf,ficha-tecnica-mazda-cx-5-2025-v01.pdf,MAZDA,CX-5,I GRAND TOURING 2WD,2025,file:ano,6910,6,0,2025-09-06T03:08:36.090566
data/oem_specs/mazda/ficha-tecnica-mazda-cx-50-2025-v01.pdf,ficha-tecnica-mazda-cx-50-2025-v01.pdf,MAZDA,CX-50,2.5 TURBO SIGNATURE AWD,2025,file:ano,7023,6,0,2025-09-06T03:08:37.579295
