Make,Model,Version_sales,match_make,match_model,match_version,match_ano,msrp,precio_transaccion,hp,equipment_score,units
JAC,SEI2,(O)1.5 SMART,JAC,SEI2,SMART MT,2024.0,269000.0,269000.0,111.0,4.0,300.0
JAC,2,1.5 SMART,JAC,JAC2,SMART MT,2025.0,312000.0,299000.0,112.0,3.0,540.0
JAC,2,1.5 SMART CVT,JAC,SEI2,SMART CVT,2022.0,339000.0,339000.0,111.0,3.0,231.0
JAC,SEI2,(O)1.5 SMART CVT,JAC,SEI2,SMART CVT,2023.0,332000.0,332000.0,111.0,3.0,15.0
JAC,SEI2,(O)1.5 SMART CVT,JAC,SEI2,SMART CVT,2024.0,299000.0,299000.0,111.0,3.0,8.0
JAC,2,1.5 SMART CVT,JAC,JAC2,SMART CVT,2025.0,341000.0,329000.0,112.0,3.0,727.0
JAC,S3,(O)1.6 CONNECT CVT,JAC,SEI2,CONNECT CVT,2022.0,355000.0,355000.0,111.0,3.0,98.0
AUDI,Q8,4.0 RS Q8 MHEV AUTO 4WD,AUDI,Q8,4.0 MHEV RS Q8 TFSI QUATTRO AT,2022.0,2734900.0,2669403.0,600.0,4.0,27.0
AUDI,Q8,4.0 SQ8 TFSI AUTO 4WD,AUDI,Q8,4.0 MHEV RS Q8 TFSI QUATTRO AT,2023.0,2809900.0,2725603.0,600.0,4.0,32.0
AUDI,E-TRON SPORTBACK,BEV 95KWH 55 S LINE AUTO 4WD,AUDI,E-TRON SPORTBACK,55 S LINE AT,2022.0,2019900.0,1971526.0,408.0,4.0,181.0
AUDI,E-TRON SPORTBACK,BEV 95KWH S AUTO 4WD,AUDI,E-TRON SPORTBACK,55 S LINE AT,2023.0,2029900.0,1847209.0,408.0,4.0,4.0
SUBARU,CROSSTREK,2.0 DYNAMIC CVT AWD,SUBARU,CROSSTREK,2.0I DYNAMIC CVT,2025.0,539900.0,539900.0,154.0,5.0,101.0
FORD,ESCAPE,2.5 HEV TITANIUM CVT,FORD,ESCAPE,TITANIUM HEV,2022.0,838300.0,838300.0,198.0,3.0,48.0
FORD,ESCAPE,2.5 HEV ACTIVE CVT,FORD,ESCAPE,ACTIVE,2023.0,766000.0,766000.0,192.0,5.0,48.0
FORD,ESCAPE,(O)2.5 HEV ACTIVE CVT,FORD,ESCAPE,ACTIVE 2.5L,2025.0,801100.0,651100.0,192.0,5.0,287.0
HONDA,CITY,1.5 SPORT CVT,HONDA,CITY,SPORT CVT,2022.0,392900.0,392900.0,119.0,0.0,245.0
HONDA,CITY,(O)1.5 SPORT CVT,HONDA,CITY,SPORT CVT,2023.0,399900.0,384900.0,119.0,0.0,202.0
HONDA,CITY,(O)1.5 SPORT CVT,HONDA,CITY,SPORT CVT,2024.0,401900.0,386900.0,119.0,0.0,864.0
TESLA,MODEL S,BEV PLAID AUTO 4WD,TESLA,MODEL S,PLAID 4WD,2022.0,3289900.0,3289900.0,1020.0,3.0,11.0
TESLA,MODEL S,BEV PLAID AUTO 4WD,TESLA,MODEL S,PLAID 4WD,2023.0,1839900.0,1839900.0,1020.0,3.0,62.0
TESLA,MODEL S,BEV PLAID AUTO 4WD,TESLA,MODEL S,PLAID 4WD,2024.0,2229900.0,2229900.0,1020.0,3.0,65.0
CHEVROLET,CAPTIVA,(O)1.5 PREMIER C CVT,CHEVROLET,CAPTIVA,PREMIER C,2022.0,492400.0,492400.0,144.0,2.0,2119.0
CHEVROLET,CAPTIVA,(O)1.5 LT 5 PASAJEROS A CVT,CHEVROLET,CAPTIVA,PREMIER C,2023.0,535900.0,505900.0,145.0,2.0,41.0
CHEVROLET,CAPTIVA,1.5 LT 5 PASAJEROS A CVT,CHEVROLET,CAPTIVA,PREMIER C,2024.0,557100.0,507100.0,144.0,3.0,3988.0
FORD,RANGER,2.0 DIESEL XLT CREW CAB AUTO 4WD,FORD,RANGER,REDBACK RAPTOR CREW CABINA 2.0L DIESEL A,2022.0,1080200.0,1080200.0,210.0,3.0,276.0
TOYOTA,YARIS,1.5 S,TOYOTA,YARIS,GR LAUNCH EDITION,2022.0,699900.0,699900.0,257.0,2.0,200.0
TOYOTA,YARIS,1.5 CORE CVT,TOYOTA,YARIS,GR CIRCUIT PACKAGE,2023.0,799900.0,799900.0,257.0,2.0,771.0
